11111111111234SOMCHAI JAIDEE      0011760000
22222222225678SOMSREE MEEKWAMSUB  0051935600
33333333339876MANA PITI           0012050075
44444444444321SITAPICH THEPWEERA  0002502000
55555555557845EDWARD PARK         1500400000
66666666661264PETER BERK          0015230025
77777777771312TER CHATAWIT        0005018015
88888888884444DAVIKA HORNE        2085901200
99999999996666JOI DE ROME         0000015010
78965412311594JAME THAI           0037595200
15151515151515ONE FIVE            1515150000
